"Country Name","Country Code","Indicator Name","Indicator Code","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Albania","ALB","GDP growth","GDPG","-28","-7.2","9.6","9.4","8.9","9.1","-10.2","12.7","10.1","7.3","7.94","4.23","5.77","5.71","5.76","5.43","5.9","7.54","3.31","3.8","3.08","1.3","0.7","2.1","3.3","4.2","4.5","4.5","4.7",
"Algeria","DZA","GDP growth","GDPG","-1.2","1.6","-2.1","-0.9","3.85","3.8","1.1","5.1","3.2","3.8","3","5.6","7.2","4.3","5.9","1.68","3.37","2.36","1.63","3.62","2.83","3.3","2.7","4.34","4.14","4.3","4.24","4.27","4.32",
"Armenia","ARM","GDP growth","GDPG","-12.4","-52.6","-14.05","5.4","8.03","5.17","3.39","6.27","3.17","5.85","9.47","14.81","14.05","10.47","14.11","13.2","13.75","6.95","-14.15","2.2","4.7","7.13","3.19","4.26","4.5","4.7","5","5","5",
"Australia","AUS","GDP growth","GDPG","-1.22","2.71","4.05","4.7","2.98","4.29","4.07","4.99","4.17","3.09","2.62","3.94","3.05","4.09","3.13","2.68","4.54","2.69","1.54","2.25","2.58","3.59","2.43","2.62","2.7","2.95","2.97","2.98","3.04",
"Austria","AUT","GDP growth","GDPG","3.44","2.09","0.53","2.4","2.67","2.47","2.31","3.79","3.54","3.67","0.86","1.69","0.87","2.59","2.4","3.67","3.71","1.44","-3.82","1.77","2.83","0.87","0.35","1.69","1.75","1.64","1.44","1.44","1.4",
"Azerbaijan","AZE","GDP growth","GDPG","-0.7","-22.73","-23.1","-19.67","-13.03","2.53","8.88","6.01","11.4","6.23","6.49","8.14","10.48","10.2","26.4","34.5","25","10.8","9.3","4.96","0.09","2.16","5.8","4.96","4.61","3.48","3.22","3.99","4.23",
"Bahrain","BHR","GDP growth","GDPG","2.29","7.12","7.6","3.21","1.92","3.25","2.35","4.85","5.97","7.02","2.49","3.35","6.3","6.98","6.77","6.47","8.29","6.24","2.54","4.34","2.1","3.4","4.87","4.69","3.26","3.27","3.48","3.54","3.49",
"Bangladesh","BGD","GDP growth","GDPG","4.2","4.8","4.32","4.51","4.77","5.01","5.3","5.04","5.42","5.6","4.83","4.84","5.78","6.11","6.3","6.53","6.3","5.96","5.91","6.4","6.46","6.13","5.76","6.01","6.5","6.76","7","7","7",
"Belarus","BLR","GDP growth","GDPG","-1.2","-9.6","-7.6","-11.7","-11.08","2.67","11.38","8.54","3.28","5.73","4.71","5.04","6.97","11.44","9.41","9.98","8.69","10.29","0.14","7.74","5.54","1.73","0.9","1.58","2.5","2.74","2.67","2.76","2.78",
"Belgium","BEL","GDP growth","GDPG","1.83","1.53","-0.96","3.23","2.38","1.42","3.74","1.93","3.54","3.67","0.81","1.36","0.81","3.27","1.75","2.67","2.88","0.98","-2.8","2.32","1.77","-0.14","0.25","1.22","1.21","1.29","1.35","1.39","1.48",
"Bosnia and Herzegovina","BIH","GDP growth","GDPG","-12.33","-6.12","-1.33","1.39","4.53","3.17","-1.31","3.5","10.75","4.44","2.36","5.05","3.86","6.26","3.87","5.69","5.98","5.59","-2.72","0.84","0.96","-1.21","1.2","2","3.2","3.7","4","4","4",
"Botswana","BWA","GDP growth","GDPG","6.24","-0.21","4.03","-0.79","8","4.44","9.73","10.37","9.84","5.89","0.25","6.07","4.63","2.71","4.56","7.96","8.68","3.9","-7.84","8.59","6.1","4.18","3.94","4.1","4.39","4.08","4.03","3.99","3.78",
"Brazil","BRA","GDP growth","GDPG","1.03","-0.47","4.67","5.33","4.42","2.15","3.38","0.04","0.26","4.31","1.31","2.66","1.15","5.71","3.16","3.96","6.1","5.17","-0.33","7.53","2.73","1.03","2.28","1.82","2.65","3","3.15","3.34","3.51",
"Bulgaria","BGR","GDP growth","GDPG","-10.76","-8.43","-11.63","-3.67","-1.6","-8.04","-5.84","4.12","2.28","5.39","4.15","4.65","5.5","6.75","6.36","6.51","6.45","6.19","-5.48","0.39","1.84","0.59","0.86","1.6","2.5","3","3","3","3",
"Burundi","BDI","GDP growth","GDPG","5.78","1.01","-6.24","-3.83","-7.92","-8","0.41","4.75","-1.01","-0.86","1.67","2.35","2.47","3.77","4.37","5.41","3.44","4.91","3.8","5.05","4.19","4.02","4.47","4.74","4.8","5.01","5.19","5.4","5.36",
"Cambodia","KHM","GDP growth","GDPG","7.59","7.07","4.04","8.18","6.44","5.41","5.62","5.01","11.91","8.77","8.15","6.58","8.51","10.34","13.25","10.77","10.21","6.69","0.09","6.1","7.08","7.29","7.01","7.24","7.32","7.29","7.54","7.46","7.48",
"Canada","CAN","GDP growth","GDPG","-2.09","0.88","2.34","4.8","2.74","1.68","4.25","4.14","5","5.12","1.69","2.8","1.93","3.14","3.16","2.62","2.01","1.18","-2.71","3.37","2.53","1.71","2.01","2.3","2.37","2.35","2.22","2.09","2.03",
"Chile","CHL","GDP growth","GDPG","7.95","12.21","6.93","5.67","10.49","7.36","6.61","3.27","-0.71","4.47","3.34","2.17","3.39","6.8","6.3","5.83","5.21","3.17","-0.91","5.69","5.73","5.45","4.23","3.63","4.05","4.23","4.5","4.5","4.5",
"China","CHN","GDP growth","GDPG","9.18","14.24","13.96","13.08","10.93","10.01","9.3","7.83","7.62","8.43","8.3","9.08","10.03","10.09","11.31","12.68","14.16","9.63","9.21","10.45","9.3","7.65","7.67","7.54","7.28","6.97","6.76","6.63","6.52",
"Colombia","COL","GDP growth","GDPG","2.37","4.35","5.71","5.15","5.2","2.06","3.43","0.57","-4.2","2.92","1.68","2.5","3.92","5.33","4.71","6.7","6.9","3.55","1.65","3.97","6.64","4.21","4.26","4.49","4.47","4.52","4.5","4.5","4.54",
"Congo","COG","GDP growth","GDPG","2.4","2.61","-0.98","-5.49","3.98","4.29","-0.63","3.74","-2.58","7.58","3.8","4.58","0.81","3.48","7.76","6.24","-1.58","5.57","7.47","8.74","3.41","3.81","4.52","8.12","5.79","8.12","10.9","4.66","2.57",
"Costa Rica","CRI","GDP growth","GDPG","2.26","9.15","7.41","4.73","3.92","0.89","5.58","8.4","8.22","1.8","1.08","2.9","6.41","4.26","5.89","8.78","7.93","2.73","-1.02","4.95","4.51","5.13","3.5","3.8","4.1","4.3","4.5","4.5","4.5",
"Croatia","HRV","GDP growth","GDPG","-17","-11.7","-8","5.9","6.63","5.84","5.36","2.52","-0.86","4.18","3.66","4.88","5.37","4.13","4.28","4.93","5.06","2.08","-6.95","-2.27","-0.23","-1.87","-1","-0.62","0.4","1.3","1.94","2.1","2",
"Cyprus","CYP","GDP growth","GDPG","0.74","9.37","0.7","5.9","9.92","1.81","2.3","5.01","4.83","5.02","4.02","2.13","1.87","4.23","3.86","4.13","5.09","3.59","-1.86","1.31","0.44","-2.41","-6","-4.75","0.85","1.86","2.35","2.25","1.94",
"Czech Republic","CZE","GDP growth","GDPG","-11.49","-3.29","0.57","3.21","6.36","4.54","-0.85","-0.24","1.68","4.19","3.1","2.15","3.77","4.74","6.75","7.02","5.74","3.1","-4.51","2.47","1.82","-1.02","-0.87","1.89","2.02","2.13","2.28","2.43","2.44",
"Denmark","DNK","GDP growth","GDPG","1.3","1.98","-0.09","5.53","3.06","2.84","3.2","2.16","2.56","3.53","0.7","0.47","0.38","2.3","2.44","3.4","1.58","-0.78","-5.67","1.39","1.07","-0.36","0.43","1.48","1.67","1.66","1.68","1.75","1.76",
"Dominican Republic","DOM","GDP growth","GDPG","0.94","10.51","7.22","2.3","5.49","7.13","8","7.01","6.71","5.66","1.81","5.79","-0.25","1.31","9.26","10.67","8.47","5.26","3.45","7.75","4.48","3.89","4.09","4.46","4.1","4.1","4","4","4",
"Ecuador","ECU","GDP growth","GDPG","5.11","3.61","2","4.26","2.25","1.73","4.33","3.27","-4.74","1.09","4.02","4.1","2.72","8.21","5.29","4.4","2.19","6.36","0.57","3.52","7.79","5.14","4.24","4.16","3.5","3.5","3.5","3.5","3.5",
"Egypt","EGY","GDP growth","GDPG","2.1","0.3","2.9","4.19","4.48","4.88","5.92","7.54","6.11","5.38","3.52","3.19","3.19","4.09","4.47","6.84","7.09","7.16","4.67","5.15","1.78","2.21","2.1","2.26","4.09","4.08","3.96","4.04","4.04",
"El Salvador","SLV","GDP growth","GDPG","3.58","7.54","7.37","6.05","6.4","1.71","4.25","3.75","3.45","2.15","1.71","2.34","2.3","1.85","3.56","3.91","3.84","1.27","-3.13","1.37","2.22","1.93","1.6","1.6","1.7","1.8","2","2","2",
"Estonia","EST","GDP growth","GDPG","-0.98","-1.45","-0.75","-1.64","2.15","5.69","11.74","6.72","-0.3","9.97","6.28","6.56","7.76","6.34","8.85","10.1","7.49","-4.15","-14.1","2.56","9.56","3.94","0.83","2.36","3.21","3.49","3.59","3.67","3.71",
"Ethiopia","ETH","GDP growth","GDPG","-7.22","-8.91","13.36","3.49","6.12","13.16","3.54","-4.04","6.04","5.93","7.42","1.63","-2.1","11.73","12.64","11.54","11.8","11.19","10.04","10.57","11.39","8.55","9.73","7.46","7.48","7.01","7.02","7.02","6.49",
"Fiji","FJI","GDP growth","GDPG","-2.71","6.11","2.61","5.09","4.92","4.74","-2.26","1.23","9.21","-1.78","1.97","3.15","1","5.46","2.5","1.86","-0.86","1.03","-1.39","2.95","2.7","1.7","3.04","2.28","2.31","2.29","2.33","2.36","2.39",
"Finland","FIN","GDP growth","GDPG","-6.01","-3.49","-0.8","3.62","3.96","3.59","6.2","5.02","3.9","5.32","2.28","1.83","2.01","4.13","2.92","4.41","5.34","0.29","-8.54","3.36","2.83","-1.01","-1.38","0.35","1.11","1.5","1.64","1.76","1.77",
"France","FRA","GDP growth","GDPG","1.04","1.48","-0.67","2.25","2.05","1.07","2.18","3.38","3.29","3.68","1.84","0.93","0.9","2.54","1.83","2.47","2.29","-0.08","-3.15","1.73","2.03","0.01","0.27","1.03","1.53","1.71","1.82","1.92","1.93",
"Georgia","GEO","GDP growth","GDPG","-21.1","-44.9","-29.3","-10.4","2.6","10.5","10.57","2.88","2.96","1.94","4.7","5.5","11.1","5.85","9.59","9.38","12.34","2.31","-3.78","6.25","7.17","6.18","3.23","4.99","5","5.01","4.98","5.01","5.01",
"Germany","DEU","GDP growth","GDPG","5.01","1.5","-1.01","2.53","1.78","0.82","1.79","1.66","1.74","3.3","1.64","0.03","-0.39","0.69","0.85","3.89","3.39","0.81","-5.09","3.86","3.4","0.9","0.54","1.71","1.56","1.4","1.36","1.3","1.29",
"Greece","GRC","GDP growth","GDPG","3.1","0.7","-1.6","2","2.1","2.36","3.64","3.36","3.42","4.48","4.2","3.44","5.94","4.37","2.28","5.51","3.54","-0.21","-3.14","-4.94","-7.11","-6.98","-3.86","0.6","2.92","3.71","3.48","3.35","2.77",
"Guatemala","GTM","GDP growth","GDPG","3.07","4.64","3.46","3.52","4.42","2.8","4.15","4.59","3.69","2.53","2.4","3.87","2.53","3.15","3.26","5.38","6.3","3.28","0.53","2.87","4.24","2.96","3.5","3.5","3.5","3.5","3.5","3.5","3.5",
"Guyana","GUY","GDP growth","GDPG","6.03","7.76","8.2","8.48","5.05","7.96","6.18","-1.71","2.99","-1.35","2.26","1.15","-0.65","1.57","-1.94","5.13","7.02","1.98","3.32","4.37","5.44","4.82","4.8","4.28","3.99","4.87","4.34","4.25","3.25",
"Honduras","HND","GDP growth","GDPG","3.25","5.62","6.23","-1.3","4.08","3.58","4.99","2.9","-1.89","5.75","2.72","3.75","4.55","6.23","6.05","6.57","6.19","4.23","-2.43","3.73","3.84","3.86","2.56","3","3.1","3.2","3","3","3",
"Hong Kong, China","HKG","GDP growth","GDPG","5.69","6.09","6.04","6.01","2.29","4.19","5.06","-6.03","2.56","7.95","0.56","1.66","3.06","8.7","7.39","7.03","6.46","2.13","-2.46","6.77","4.79","1.55","2.94","3.75","3.84","3.94","3.92","3.98","4.01",
"Hungary","HUN","GDP growth","GDPG","-11.89","-3.06","-0.58","2.95","2.54","0.16","3.13","4.07","3.2","4.22","3.71","4.51","3.85","4.8","3.96","3.89","0.11","0.89","-6.77","1.05","1.57","-1.67","1.11","1.98","1.74","1.68","1.71","1.74","1.74",
"Iceland","ISL","GDP growth","GDPG","-0.22","-3.37","1.31","3.61","0.12","4.79","4.91","6.32","4.09","4.32","3.92","0.14","2.43","7.84","7.23","4.71","5.99","1.19","-6.56","-4.1","2.68","1.4","2.87","2.68","3.06","3.04","2.97","2.28","2.26",
"India","IND","GDP growth","GDPG","1.06","5.48","4.75","6.66","7.57","7.55","4.05","6.18","8.85","3.84","4.82","3.8","7.86","7.92","9.29","9.26","9.8","3.89","8.48","10.26","6.64","4.74","4.35","5.42","6.35","6.48","6.65","6.73","6.76",
"Indonesia","IDN","GDP growth","GDPG","6.95","6.46","8","7.54","8.22","7.82","4.7","-13.13","0.79","4.2","3.64","4.5","4.78","5.03","5.69","5.5","6.34","6.01","4.63","6.22","6.49","6.26","5.78","5.36","5.8","6","6","6","6",
"Iran, Islamic Republic of","IRN","GDP growth","GDPG","12.59","4.25","-1.58","-0.35","2.65","7.1","3.38","2.74","1.93","5.14","3.67","8.16","8.06","6.07","4.66","6.21","6.37","0.58","3.95","5.9","2.65","-5.63","-1.67","1.5","2.35","2.31","2.33","2.34","2.35",
"Ireland","IRL","GDP growth","GDPG","1.64","3.58","2.31","5.89","9.59","9.7","11.27","8.93","10.97","10.65","4.99","5.42","3.73","4.2","6.08","5.5","4.97","-2.16","-6.38","-1.06","2.17","0.16","-0.34","1.7","2.47","2.52","2.51","2.52","2.51",
"Israel","ISR","GDP growth","GDPG","4.62","7.16","3.77","7.01","9.65","5.43","3.18","4.25","3.29","8.66","-0.18","-0.07","1.48","4.9","4.92","5.8","6.92","4.45","1.25","5.66","4.57","3.35","3.33","3.23","3.42","3.37","3.49","3.42","3.47",
"Italy","ITA","GDP growth","GDPG","1.44","0.83","-0.85","2.15","2.89","1.14","1.87","1.45","1.45","3.65","1.86","0.45","-0.05","1.73","0.93","2.2","1.68","-1.16","-5.49","1.72","0.45","-2.37","-1.85","0.63","1.15","1.25","1.15","0.95","0.95",
"Jamaica","JAM","GDP growth","GDPG","0.83","2.78","2.21","1.88","2.52","-0.24","-1.64","-1.21","0.98","0.78","1.28","0.68","3.67","1.32","0.89","2.87","1.43","-0.81","-3.39","-1.45","1.41","-0.48","0.5","1.27","1.7","2.1","2.42","2.65","2.7",
"Japan","JPN","GDP growth","GDPG","3.32","0.82","0.17","0.86","1.94","2.61","1.6","-2","-0.2","2.26","0.35","0.29","1.69","2.36","1.3","1.69","2.19","-1.04","-5.53","4.65","-0.45","1.45","1.54","1.35","0.96","0.67","0.99","1.01","1.13",
"Jordan","JOR","GDP growth","GDPG","1.62","14.35","4.49","4.98","6.19","2.08","3.32","3.01","3.38","4.25","5.27","5.79","4.18","8.56","8.14","8.09","8.18","7.23","5.48","2.31","2.59","2.65","3.25","3.5","4","4.5","4.5","4.5","4.5",
"Kazakhstan","KAZ","GDP growth","GDPG","-11","-5.3","-9.2","-12.58","-8.2","0.5","1.7","-1.9","2.7","9.8","13.5","9.8","9.3","9.6","9.7","10.7","8.9","3.3","1.2","7.3","7.5","5","5.95","5.67","6.14","5.67","5.51","5.43","5.39",
"Kenya","KEN","GDP growth","GDPG","1.34","-1.08","-0.1","2.53","4.29","4.01","0.22","3.33","2.41","0.6","4.46","0.55","2.93","5.09","5.93","6.33","6.99","1.53","2.73","5.8","4.38","4.56","5.56","6.26","6.32","6.38","6.43","6.5","6.55",
